4812, 14597
1223, 14885
16917, 18675
22412, 19686
16544, 10912
6217, 7015
5093, 17556
18764, 19828
55731, 3283
27065, 13327
46897, 5638
32079, 19007
52977, 9212
29786, 12471
49843, 2845
44222, 2897
29727, 13463
6636, 8984
52680, 11277
4222, 9382
46763, 7388
27431, 9257
32575, 2771
36983, 16627
23196, 18238
33993, 18562
34468, 1336
23329, 11066
13115, 18817
12779, 3929
13969, 1556
7461, 5038
41205, 7420
40836, 7405
10895, 2080
58412, 6419
32690, 14062
3904, 13878
43349, 647
23131, 2498
20168, 6193
41068, 3667
21009, 13971
16580, 15407
58953, 11898
46235, 15272
45784, 13634
11213, 3381
57024, 1531
18540, 13568
27562, 14049
40701, 9931
59856, 12002
43050, 3753
17602, 3067
50170, 15135
31795, 9821
13752, 1202
13587, 6249
10904, 9372
33880, 8101
35216, 9867
50794, 19967
25836, 9065
15363, 474
1039, 12539
5664, 1812
39289, 7099
21829, 7041
1158, 14118
14585, 2212
7688, 4022
28292, 18981
34363, 8321
46590, 17694
30855, 15016
40402, 10992
53558, 8113
1898, 3590
9149, 13056
32508, 19117
53746, 4311
22609, 15254
10699, 5460
9762, 19128
3747, 1317
44686, 1547
11568, 11586
52816, 16520
40457, 12541
20552, 13224
3078, 14782
41570, 3622
54057, 1021
34529, 17053
1872, 11390
46408, 11561
42676, 2325
45668, 16323
45901, 9326
25985, 4675
1124, 18780
50742, 8518
58105, 15335
16366, 1952
29845, 10901
20044, 7399
18931, 14046
36095, 4620
9875, 10121
1581, 12108
6284, 13542
31972, 16773
54132, 6661
40368, 3842
23791, 9435
19702, 6047
9046, 2378
43354, 13222
7035, 8303
56379, 8006
14108, 16961
32043, 5020
54275, 19836
2526, 19483
42541, 4034
9809, 4874
23388, 12287
35445, 9026
7859, 17310
45781, 15054
24750, 9632
6055, 14287
15322, 7582
27266, 18937
3589, 17720
30404, 19863
13471, 4581
57252, 1421
8794, 19941
9139, 15128
58134, 2430
51847, 976
34535, 4914
54959, 13199
28856, 18406
164, 16460
38120, 19465
43639, 14914
18106, 14533
45533, 3268
30906, 6689
18598, 9645
43160, 3444
38578, 5575
42835, 3267
8155, 5878
23463, 2602
36327, 17103
43367, 17884
32490, 9805
41748, 17410
38687, 8075
45291, 10607
23819, 16223
26872, 935
3751, 9740
7622, 177
54380, 16042
52279, 2320
44118, 13818
1801, 125
18342, 12798
11925, 8157
54771, 14369
52225, 18045
45749, 15694
4492, 18977
45305, 7729
7665, 17929
1349, 7960
51670, 16696
32413, 10798
45356, 12391
409, 8644
34076, 19121
39513, 6286
55425, 4611
10278, 11826
59695, 17668
16809, 8623
5891, 2764
24696, 17640
3701, 4416
46129, 5643
52425, 6601
15936, 9236
2185, 8688
57174, 825
22206, 10629
2150, 1844
23515, 1124
4025, 3439
11992, 9077
3911, 8
38808, 17499
26401, 18048
13442, 1382
12030, 13594
13547, 15781
12411, 17321
58794, 370
48506, 13363
54918, 9075
14813, 2431
4572, 5876
12354, 13743
31524, 12532
19189, 1962
48100, 10803
57114, 6260
52643, 5566
38878, 5097
42274, 9642
17440, 234
37485, 5839
19784, 13686
34939, 19345
52188, 17959
40500, 9606
6309, 6320
3871, 9709
28723, 18166
12394, 8486
26961, 13601
13679, 6094
3084, 4869
9834, 8758
24916, 19229
50200, 13241
49190, 14554
12022, 6886
24272, 9712
49999, 15519
43042, 7873
10000, 2446
14210, 17051
50122, 7006
26958, 428
36270, 7698
22865, 19400
6686, 3413
13836, 9377
57149, 11295
27843, 888
21671, 15425
5184, 17708
37136, 7685
37962, 6916
15110, 1140
4649, 7909
32358, 3542
29064, 4104
9828, 3084
12257, 6907
1149, 16359
16954, 15459
15159, 9078
26392, 19136
54635, 19888
14791, 9298
12929, 3827
76, 13725
44366, 9347
1951, 1591
31790, 13642
59719, 14804
59016, 5946
32133, 1766
3221, 6928
33770, 18681
45365, 10164
26298, 6938
41686, 2709
51350, 9562
29660, 6494
13758, 326
15369, 5216
11548, 7091
45185, 19575
56773, 11740
14684, 4758
2035, 7082
53929, 14215
33942, 549
18665, 15700
31721, 5376
2807, 17219
31324, 3075
39888, 5211
49761, 5433
26414, 7299
19757, 3964
41289, 17247
673, 17104
59808, 2557
43428, 8193
18345, 7018
44172, 17103
46198, 17461
20807, 17703
49754, 19888
45848, 8979
